Suburb,Children,Yadult,Oadult,Old,lat,lon
Albury,9416,17143,18061,5623,-36.0804766,146.9162795
Armidale Dumaresq,4752,9351,8604,2636,-30.5146203,151.6667099
Ashfield,6845,17587,14996,4747,-33.8878817,151.1236642
Auburn,16401,36781,25395,4790,-33.849302,151.0328106
Ballina,7181,10215,17448,6491,-28.8634654,153.5619701
Balranald,427,657,1004,283,-34.640863,143.5657748
Bankstown,42274,68768,66813,19119,-33.9171897,151.0335881
Bathurst Regional,8271,14251,14576,3953,-33.42290415,149.579355115718
Bega Valley,5552,7337,15291,5133,-36.6780983,149.8408283
Bellingen,2471,2821,5735,1827,-30.4510473,152.8970754
Berrigan,1396,2003,3487,1479,-35.6565836,145.8093489
Blacktown,75141,122753,107923,19368,-33.7642133,150.9049061
Bland,1348,1557,2212,893,-34.0236111,147.63
Blayney,1659,1987,2829,855,-33.5327643,149.2552706
Blue Mountains,14972,21486,34279,8488,-34.0908358,150.172815379382
Bogan,678,862,1127,370,-32.0483333,147.4677778
Bombala,420,560,1080,341,-36.9113175,149.2389375
Boorowa,513,597,1099,349,-34.4385729,148.7188735
Botany Bay,7711,16274,15074,4233,-33.9817773,151.179489604425
Bourke,737,940,1092,227,-30.0914494,145.9429902
Brewarrina,522,566,714,138,-29.9569044,146.860591
Broken Hill,3392,5310,7560,2786,-31.9605303,141.4579038
Burwood,5120,15243,11274,3661,-33.8771304,151.1040344
Byron,5758,8519,14475,2860,-29.6816667,151.1011111
Cabonne,2949,3494,5555,1697,-33.2316697,148.8177747
Camden,14895,22514,21563,4276,-34.0532323,150.6961705
Campbelltown,32572,56912,55589,9465,-34.0636914,150.8206159
Canada Bay,14103,32584,29883,8336,-33.8644444,151.1147222
Canterbury,29203,54171,50903,14576,-33.915,151.1177778
Carrathool,537,810,1130,315,-34.4091469,145.4330301
Central Darling,449,620,846,155,-31.7638793,143.618396027889
Cessnock,11434,17767,20041,5071,-32.8333333,151.3561111
Clarence Valley,9118,12348,21769,7808,-28.8815792,152.5635791
Cobar,1154,1767,1653,450,-31.4983333,145.8344444
Coffs Harbour,13594,19940,29144,9120,-30.2962407,153.1135293
Conargo,361,418,642,122,-35.2983333,145.1677778
Coolamon,922,969,1713,672,-34.8163798,147.2009759
Cooma-Monaro,1869,2673,4211,1320,-36.2354029,149.12727975072
Coonamble,845,1282,1636,516,-30.958072,148.3872528
Cootamundra,1393,1747,3139,1346,-34.6394513,148.025723
Corowa Shire,2018,2802,4556,2034,-35.9880917,146.3648021
Cowra,2280,3182,5110,1979,-33.8349393,148.6925158
Deniliquin,1338,1970,2891,1177,-35.5302183,144.9597178
Dubbo,9041,13307,14493,4134,-32.2478964,148.6026502
Dungog,1628,2259,3887,1110,-32.4050241,151.7550117
Eurobodalla,6070,7547,16753,6864,-36.1483333,149.9677778
Fairfield,39790,71372,72809,17456,-33.8649983,150.9511109
Forbes,1971,2754,3641,1298,-33.384253,148.0096566
Gilgandra,897,1084,1793,714,-31.7114096,148.6674105
Gloucester,828,1008,2209,929,-32.0067278,151.9595082
Gosford,31042,49397,66445,23868,-33.4250175,151.3417318
Great Lakes,5491,6996,15627,8198,-32.1622477,152.4926663
Greater Hume Shire,2108,2563,4274,1231,-35.6669966,147.0467708
Greater Taree,8859,11573,20556,7858,-31.8992951,152.4593948
Griffith,5573,8355,8830,2667,-34.2870772,146.0551022
Gundagai,777,959,1510,501,-35.0614045,148.1059794
Gunnedah,2641,3826,4556,1665,-30.9758873,150.250157
Guyra,967,1257,1841,580,-30.21841,151.6709542
Gwydir,931,1142,2181,850,-29.9046488,150.6672399
Harden,743,831,1595,593,-34.5540005,148.3690426
Hawkesbury,13473,21786,24674,5181,-33.5038701,150.9274931
Hay,589,706,1218,449,-34.5092589,144.842485
Holroyd,22708,42457,34706,9018,-33.8297155,150.9974898
Hornsby,31599,53216,65004,17036,-33.7020319,151.1001966
Hunters Hill,2765,4326,5479,1921,-33.8336171,151.1449446
Hurstville,14982,30380,29879,9618,-33.965,151.1094444
Inverell,3482,4798,6167,2280,-29.7760646,151.1128767
Jerilderie,272,367,649,216,-35.3596404,145.7347999
Junee,1181,2002,2456,588,-34.8650097,147.5826574
Kempsey,5641,7258,12376,4086,-31.0798092,152.842289
Kiama,3636,5323,8980,3108,-34.6718879,150.8554408
Kogarah,10470,21823,22042,6076,-33.965,151.1344444
Ku-ring-gai,23688,32903,47577,14859,-36.4024618,148.410711176344
Kyogle,1715,2263,4378,1182,-28.6202144,153.0034617
Lachlan,1449,1932,2451,916,-33.221341,146.4272659
Lake Macquarie,36670,59841,78132,26153,-33.065,151.6011111
Lane Cove,6361,12040,12428,3167,-33.8130852,151.1618009
Leeton,2604,3711,4017,1207,-34.5483333,146.4011111
Leichhardt,9713,21670,22105,3778,-33.8826611,151.1561024
Lismore,8457,13394,18108,4678,-28.8066667,153.2858333
Lithgow,3838,5976,8658,2646,-33.481536,150.1564887
Liverpool,44200,72718,66091,12346,-33.9198252,150.92566
Lockhart,622,656,1301,442,-35.2231252,146.7171015
Maitland,15903,24909,26324,6311,-32.7316683,151.5511123
Manly,8336,16159,15715,4022,-33.7973355,151.2865035
Marrickville,12093,35342,28874,6214,-33.9103854,151.1556908
Mosman,5368,9216,12064,3335,-33.8358812,151.2348696
Murray,1264,1713,3125,1316,-35.1038912,143.3464672
Murrumbidgee,540,729,939,295,-34.7865395,146.5902945
Muswellbrook,3691,6090,5824,1246,-32.2687522,150.8929012
Nambucca,3382,4241,8450,3456,-30.5983333,152.7011111
Narrabri,3027,3967,5158,1533,-30.3296154,149.7814491
Narrandera,1246,1572,2342,870,-34.7483333,146.5511111
Narromine,1660,1778,2612,822,-32.2319958,148.2391867
Newcastle,26750,58684,55697,17422,-32.9272881,151.7812534
North Sydney,7909,31626,23916,5797,-33.8382959,151.2078217
Oberon,962,1436,2254,618,-33.70415,149.8588
Orange,8877,14006,13879,4107,-33.2820463,149.0971567
Palerang,3225,3974,6943,1164,-35.43011,149.59936
Parkes,3303,4342,5410,2032,-33.1368067,148.1754823
Parramatta,34893,76792,57630,15307,-33.8139843,151.002666
Penrith,39961,70754,67535,12178,-33.7511092,150.6941607
Pittwater,12122,16489,26080,7379,-33.6463724,151.316941111163
Port Stephens,13114,18832,27721,9268,-32.69864,152.15538
Queanbeyan,7838,14958,15013,2759,-35.3538856,149.2323111
Randwick,21349,62142,45629,13190,-33.914121,151.2410046
Richmond Valley,4627,5989,8852,3281,-33.60127165,150.779413187769
Rockdale,18456,40347,36555,11354,-33.9566667,151.1427778
Ryde,18553,43934,38559,11499,-33.8129929,151.1053782
Shellharbour,13968,21581,25350,6898,-34.5788697,150.8672489
Shoalhaven,16878,24431,40136,16249,-35.4609288,149.719109
Singleton,4985,8371,8711,1684,-32.5664044,151.1733972
Snowy River,1562,2473,3371,681,-36.3551251,148.4029153
Strathfield,6255,16714,12180,3209,-33.8758345,151.089495
Sutherland Shire,41901,72378,85417,23496,-34.0351165,151.010446244097
Sydney,14275,112127,55740,9776,-33.8548157,151.2164539
Tamworth Regional,12323,17880,22497,7043,-31.0927217,150.9311921
Temora,1243,1357,2395,1000,-34.4473796,147.5333192
Tenterfield,1241,1471,3172,1089,-29.0514284,152.0209463
The Hills Shire,38063,58404,73126,13970,-33.7265212,150.988699097524
Tumbarumba,660,898,1456,507,-35.7764898,148.010062
Tumut Shire,2286,3043,4451,1536,-35.3012475,148.2201484
Tweed,15791,22787,36302,15234,-28.4475809,153.2772832
Uralla,1300,1628,2769,673,-30.6412386,151.4998499
Urana,210,240,507,200,-35.3316667,146.2677778
Wagga Wagga,12716,22567,20926,5940,-35.1149957,147.3677739
Wakool,623,956,1777,623,-35.4693908,144.3968297
Walcha,538,743,1330,476,-30.9848276,151.592962
Walgett,1390,1814,2791,790,-30.0222159,148.1175705
Warren,622,736,1201,351,-31.7003539,147.8373918
Warringah,30376,48795,56636,16829,-33.76751385,151.26599050842
Waverley,11013,31652,22232,5809,-33.895566,151.2586572
Weddin,669,793,1606,643,-34.0004086,147.999254087478
Wellington,1825,2520,3418,1192,-32.5542815,148.9515327
Wentworth,1356,1856,2807,813,-34.1077255,141.919296
Willoughby,13706,26535,26252,6662,-33.8063889,151.2002778
Wingecarribee,8866,11183,19690,7315,-34.5396133,150.4848772
Wollondilly,10315,14779,17787,3414,-33.8830616,150.5952239
Wollongong,37243,69532,74208,24248,-34.4243941,150.89385
Woollahra,8721,21639,20600,6717,-33.8855556,151.2413889
Wyong,31144,46507,58292,21415,-33.2825132,151.4256691
Yass Valley,3547,4526,6745,1452,-34.9968689,149.0388199
Young,2753,3545,4747,1654,-34.3103512,148.2971801
Unincorporated NSW,205,324,498,94,-31.1929013,141.877145923702
Alpine,2006,2561,5575,1902,-34.4091114,150.5217411
Ararat,1929,2878,4734,1666,-32.5566667,150.8344444
Ballarat,18951,33973,35103,10657,-33.1489909,151.5381736
Banyule,21960,42068,46469,13978,-33.9531569,150.9386564
Baw Baw,8801,12937,18101,5366,-34.7316667,149.6344444
Bayside,18974,25637,41287,12470,-33.8719764,151.1991256
Benalla,2346,3320,5876,2177,-33.8852509,151.1213115
Campaspe,7116,9676,14923,5204,-34.5913694,150.7750854
Cardinia,19486,29551,29101,5927,-33.4125133,149.5274983
Casey,61813,101541,94775,16987,-32.9490863,151.6976487
East Gippsland,7466,10027,18722,7198,-36.4220971,148.6168269
Glenelg,3487,5111,8402,2521,-33.7538889,148.0844444
Golden Plains,4618,5707,8465,1361,-32.469007,150.8774683
Hepburn,2579,3384,6896,1984,-33.8285137,151.1245292
Hindmarsh,960,1287,2383,1065,-34.4106573,150.8913007
Hume,40558,68664,62855,11186,-36.10765355,147.031811321606
Indigo,2867,3640,7039,1826,-34.440252,150.842958
Kingston,26366,50049,57556,17715,-35.0034072,146.7772252
Knox,27641,52411,60759,14098,-33.7815942,151.1466065
Loddon,1245,1437,3479,1282,-34.0769216,150.8259645
Mansfield,1565,1993,3576,1051,-32.3131666,149.3178037
Melbourne,7757,79035,25003,4652,-33.6892711,151.226998246708
Melton,29777,48423,39543,5166,-33.2435681,143.6400137
Mildura,10704,16109,19635,6237,-33.769489,151.1511067
Mitchell,8042,12032,14307,2985,-33.4258333,149.5575
Moira,5412,7132,11525,4606,-35.9316667,144.8344444
Monash,28089,68102,63342,22952,-33.9356327,151.2261264
Moonee Valley,19375,41030,41547,13145,-30.1679807,153.1787038
Moreland,25928,67587,48893,17621,-34.2190398,150.5987353
Mount Alexander,2802,4181,8358,2653,-36.84488,148.69318
Port Phillip,11337,49442,35003,6719,-35.6975974,148.5592134
Pyrenees,1060,1445,3212,1053,-33.6934746,150.94187
Queenscliffe,424,583,1323,728,-34.0416764,150.8254096
Strathbogie,1534,2143,4217,1812,-29.5188226,151.4843779
Surf Coast,6077,7903,11575,2727,-34.6763439,150.854626737775
Swan Hill,4262,6445,7612,2548,-36.1224949,148.727492857143
Wellington,7879,12206,17180,5054,-32.5542815,148.9515327
Whitehorse,27223,56604,57250,20647,-33.8991657,151.1791612
Wodonga,7983,13155,12988,3219,-36.0824292,146.9101416
Wyndham,45174,78427,58012,8005,-36.9294345,149.6442181
Yarra,9575,42633,25729,5656,-31.5555192,147.252762
Balonne,1199,1443,1833,411,-30.3237215,149.785416
Banana,3625,4979,5312,1284,-30.274821,153.133912
Barcaldine,700,971,1340,350,-32.3928625,149.3886637
Barcoo,54,124,165,21,-33.7484203,151.1709789
